2026-07-13 18:51:27 | WARNING | download_data | No data for: JAINREC.NS
2026-07-13 18:51:27 | INFO | download_data | [267/500] Saved: JPPOWER.NS
2026-07-13 18:51:28 | INFO | download_data | [268/500] Saved: J&KBANK.NS
2026-07-13 18:51:28 | INFO | download_data | [269/500] Saved: JINDALSAW.NS
2026-07-13 18:51:29 | INFO | download_data | [270/500] Saved: JSL.NS
2026-07-13 18:51:30 | INFO | download_data | [271/500] Saved: JINDALSTEL.NS
2026-07-13 18:51:30 | INFO | download_data | [272/500] Saved: JIOFIN.NS
2026-07-13 18:51:30 | INFO | download_data | [273/500] Saved: JUBLFOOD.NS
2026-07-13 18:51:31 | INFO | download_data | [274/500] Saved: JUBLINGREA.NS
2026-07-13 18:51:31 | INFO | download_data | [275/500] Saved: JUBLPHARMA.NS
2026-07-13 18:51:32 | INFO | download_data | [276/500] Saved: JWL.NS
2026-07-13 18:51:32 | INFO | download_data | [277/500] Saved: JYOTICNC.NS
2026-07-13 18:51:33 | INFO | download_data | [278/500] Saved: KPRMILL.NS
2026-07-13 18:51:33 | INFO | download_data | [279/500] Saved: KEI.NS
2026-07-13 18:51:34 | INFO | download_data | [280/500] Saved: KPITTECH.NS
2026-07-13 18:51:35 | INFO | download_data | [281/500] Saved: KAJARIACER.NS
2026-07-13 18:51:35 | INFO | download_data | [282/500] Saved: KPIL.NS
2026-07-13 18:51:35 | INFO | download_data | [283/500] Saved: KALYANKJIL.NS
2026-07-13 18:51:36 | INFO | download_data | [284/500] Saved: KARURVYSYA.NS
2026-07-13 18:51:36 | INFO | download_data | [285/500] Saved: KAYNES.NS
2026-07-13 18:51:37 | INFO | download_data | [286/500] Saved: KEC.NS
2026-07-13 18:51:37 | INFO | download_data | [287/500] Saved: KFINTECH.NS
2026-07-13 18:51:38 | INFO | download_data | [288/500] Saved: KIRLOSENG.NS
2026-07-13 18:51:38 | INFO | download_data | [289/500] Saved: KOTAKBANK.NS
2026-07-13 18:51:39 | INFO | download_data | [290/500] Saved: KIMS.NS
2026-07-13 18:51:39 | INFO | download_data | [291/500] Saved: LTF.NS
2026-07-13 18:51:40 | INFO | download_data | [292/500] Saved: LTTS.NS
2026-07-13 18:51:41 | WARNING | download_data | No data for: LGEINDIA.NS
2026-07-13 18:51:41 | INFO | download_data | [294/500] Saved: LICHSGFIN.NS
2026-07-13 18:51:42 | INFO | download_data | [295/500] Saved: LTFOODS.NS
2026-07-13 18:51:42 | INFO | download_data | [296/500] Saved: LTM.NS
2026-07-13 18:51:43 | INFO | download_data | [297/500] Saved: LT.NS
2026-07-13 18:51:43 | INFO | download_data | [298/500] Saved: LATENTVIEW.NS
2026-07-13 18:51:44 | INFO | download_data | [299/500] Saved: LAURUSLABS.NS
2026-07-13 18:51:45 | WARNING | download_data | No data for: THELEELA.NS
